"","Cat_ID","Lineage","Treatment","Plant_ID","Cohort","focal.alpha.0","focal.alpha.2","focal.com.size","Comamonadaceae","Bacillaceae","Enterobacteriaceae","Xanthomonadaceae","Pseudomonadaceae","focal.disp.bc.rel"
"1","190","I","D4","1","5th_instar",1,1,42,0,0,1,0,0,0.00183293050276974
"2","191","I","D5","1","3rd_instar",3,2.18341307814992,37,0.188619599578504,0,0.640674394099052,0.170706006322445,0,0.463551602646983
"3","194","I","D1","1","3rd_instar",2,1.42831647828673,49,0,0.184279416980527,0.815720583019473,0,0,0.210700207551524
"4","202","I","D2","2","3rd_instar",3,1.62932790224033,40,0.0217924271315718,0.212476164532825,0.765731408335603,0,0,0.178742326612315
"5","206","I","D4","4","5th_instar",2,1.90588235294118,54,0.385895751204555,0,0.614104248795445,0,0,0.384628045646987
"6","207","I","C","3","3rd_instar",1,1,28,1,0,0,0,0,0.99999999999999
"7","208","I","D2","4","3rd_instar",3,1.93821926105391,80,0.00124816242753724,0.3787756913433,0.619976146229163,0,0,0
"8","209","I","D3","3","3rd_instar",3,1.32865266333991,107,0.873663751214772,0.106575963718821,0.0197602850664075,0,0,0.727277219581114
"9","213","I","D2","3","5th_instar",1,1,132,0,0,1,0,0,2.11927537585142e-13
"10","214","I","D5","3","5th_instar",3,1.59913925607132,102,0,0.00622083981337481,0.759979263867289,0.233799896319336,0,0.769092959268482
"11","216","I","D0","3","3rd_instar",5,2.22814371257485,122,0.0360070426600473,0.514864630837615,0.446660509149685,0.00210702534203083,0.000360792010621717,0.379079826843288
"12","217","I","D1","2","3rd_instar",4,2.07455910598917,109,0.00195544381590893,0.492841678888191,0.505133040016761,0,6.98372791396047e-05,0.105990551638124
"13","300","I","D0","0","5th_instar",2,1.04442250740375,46,0,0.00248860480955624,0.997511395190444,0,0,0
"14","210","I","D4","3","3rd_instar",1,1,45,0,1,0,0,0,0.539940242099655
"15","25","L","D4","0-1","3rd_instar",2,1.02061636556854,98,0.000451321727917473,0,0.999548678272082,0,0,0.484596744580989
"16","64","L","D4","0-1","5th_instar",1,1,84,0,0,1,0,0,0.00183293050276642
"17","67","L","D5","0-1","3rd_instar",2,1.06243902439024,66,0.0279864763335838,0.972013523666416,0,0,0,0.787945522070482
"18","68","L","D5","0-1","3rd_instar",2,1.01754250980996,115,0.00107681263460158,0,0.998923187365398,0,0,0.628541494355466
"19","72","L","C","0-1","3rd_instar",0,0,0,0,0,0,0,0,NA
"20","74","L","C","0-1","5th_instar",1,1,54,0,0,1,0,0,0
"21","75","L","C","0-1","3rd_instar",1,1,60,0,0,1,0,0,1.39555218834321e-13
"22","76","L","C","0-1","5th_instar",3,1.92271230596664,326,0.0625,0.666666666666667,0.270833333333333,0,0,0.729166666666659
"23","78","L","C","0-1","5th_instar",1,1,83,0,0,1,0,0,0
"24","80","L","C","0-1","3rd_instar",0,0,0,0,0,0,0,0,NA
"25","85","L","D4","0","3rd_instar",1,1,56,1,0,0,0,0,0.751918169740945
"26","86","L","D1","0","5th_instar",1,1,63,0,0,1,0,0,1.26970402294594e-13
"27","88","L","D2","0","3rd_instar",2,1.42605111294312,93,0,0.180240320427236,0.819759679572764,0,0,0.207939916061444
"28","89","L","D3","0","3rd_instar",3,1.74610778443114,54,0.00887237430803064,0.719420641540911,0.271706984151058,0,0,0.252854605033721
"29","91","L","D0","0","5th_instar",1,1,89,0,0,1,0,0,0.00192361944044563
"30","92","L","D1","0","3rd_instar",2,1.14468924695824,59,0,0.933312845728334,0.0666871542716656,0,0,0.56598993421798
"31","93","L","D2","0","5th_instar",1,1,63,0,0,1,0,0,0
"32","94","L","D3","0","3rd_instar",2,1.99547511312217,63,0,0.476269641229152,0.523730358770848,0,0,0.138405201745551
"33","96","L","D5","0","3rd_instar",0,0,0,0,0,0,0,0,NA
"34","99","L","D1","0","5th_instar",1,1,46,0,0,1,0,0,2.55499420542327e-14
"35","100","L","D2","0","5th_instar",1,1,52,0,0,1,0,0,3.16752426298394e-14
"36","106","L","D0","0-1","3rd_instar",4,1.60363636363636,63,0.00821687987341048,0.202638552609002,0.783806455302843,0,0.00533811221474463,0.0147804584964839
"37","107","L","D3","0","5th_instar",2,1.0434577231932,47,0,0,0.998752205154684,0,0.00124779484531647,0
"38","110","L","D0","0-1","5th_instar",2,1.47058823529412,45,0.19047619047619,0,0.80952380952381,0,0,0.189810977564696
"39","111","L","D0","0-1","3rd_instar",5,1.05885302040227,353,0.00441465009810334,0.00191535083621415,0.974796785947865,0.00567597869756143,0.013197234420256,0.173858166238297
"40","112","L","D1","0-1","3rd_instar",5,2.01405730228565,137,0.0511488365286112,0.0130981999121908,0.68227718425289,0.137787209132153,0.115688570174155,0.384945326860564
"41","113","L","D1","0-1","5th_instar",1,1,61,0,0,1,0,0,2.73973785789482e-14
"42","116","L","D1","0-1","3rd_instar",3,1.56126862085536,57,0.00390348408649394,0.211478058788286,0.78461845712522,0,0,0.179381955321386
"43","120","L","D2","0-1","5th_instar",1,1,70,0,0,1,0,0,0
"44","121","L","D5","0","5th_instar",2,1.8210953346856,67,0.65863453815261,0,0,0,0.34136546184739,0.301397767365563
"45","122","L","C","0","3rd_instar",0,0,0,0,0,0,0,0,NA
"46","123","L","C","0","5th_instar",3,1.20839605285165,85,0.00212992545260916,0.0752573659921903,0.922612708555201,0,0,0.0773872914448383
"47","126","L","D1","0","5th_instar",2,1.52830188679245,144,0,0,0.781456953642384,0,0.218543046357616,0.218543046357604
"48","136","L","D1","0","5th_instar",1,1,145,0,0,1,0,0,0
"49","137","L","D1","0","3rd_instar",5,1.92565223948122,113,0.0037058843902608,0.343157967651439,0.646746094967617,0.00116025352405361,0.00522979946662972,0
"50","139","L","D2","0","5th_instar",1,1,74,0,0,1,0,0,1.80412050583109e-14
"51","143","L","D3","0","3rd_instar",4,1.95007800312012,50,0.000106057392200236,0.336929183964122,0.659252749916669,0,0.00371200872700827,0.209063682202427
"52","144","L","D4","0","3rd_instar",4,1.25328635316439,136,0.00603131645080224,0.900483278561763,0.0686642180552871,0,0.0248211869321477,0.47814494586329
"53","145","L","D4","0","5th_instar",0,0,0,0,0,0,0,0,NA
"54","147","L","D5","0","3rd_instar",1,1,29,0,0,1,0,0,0.629637184305597
"55","148","L","D5","0","5th_instar",3,1.07074746231929,59,0.982392957182873,0,0.00120048019207683,0,0.01640656262505,0.252333106768579
"56","150","L","D3","0-1","5th_instar",2,1.99751175006912,85,0.513888888888889,0,0.486111111111111,0,0,0.511565278081065
"57","140","L","D2","0","3rd_instar",5,1.98367346938775,108,0.000267640367814334,0.370433386224168,0.627674014032002,0.000363226213462311,0.00126173316255329,0
"58","1","U","D0","0","5th_instar",1,1,62,0,0,1,0,0,0.00192361944043447
"59","2","U","D1","0","3rd_instar",3,1.40786404531823,65,0.0214321734745335,0.84846192637418,0.130105900151286,0,0,0.495848166101014
"60","4","U","D3","0","5th_instar",1,1,52,0,0,1,0,0,0.00285840466911635
"61","5","U","D4","0","3rd_instar",0,0,0,0,0,0,0,0,NA
"62","6","U","D5","0","3rd_instar",1,1,44,1,0,0,0,0,0.382719126964715
"63","7","U","C","0","3rd_instar",1,1,62,0,0,1,0,0,0
"64","11","U","D3","0","5th_instar",2,1.38461538461538,36,0.15769474350855,0,0.84230525649145,0,0,0.155341213416621
"65","13","U","D5","0","5th_instar",1,1,84,1,0,0,0,0,0.264494130477705
"66","15","U","D0","0","3rd_instar",2,1.24615384615385,63,0,0.111448004589035,0.888551995410965,0,0,0.0608391373512775
"67","16","U","D1","0","3rd_instar",2,1.81561061170796,91,0,0.658501858834076,0.341498141165924,0,0,0.284481463636807
"68","17","U","D2","0","3rd_instar",2,1.22945570971185,48,0,0.907292954264524,0.0927070457354759,0,0,0.550665760666209
"69","18","U","D3","0","3rd_instar",1,1,63,1,0,0,0,0,0.857545181278383
"70","19","U","D4","0","5th_instar",2,1.03173803526448,64,0,0.00238016162958043,0.99761983837042,0,0,0
"71","20","U","D5","0","5th_instar",1,1,50,0,0,1,0,0,0.769869918231474
"72","21","U","C","0","5th_instar",1,1,83,0,0,1,0,0,0
"73","27","U","D0","0","5th_instar",2,1.06243902439024,33,0,0.0161136081094004,0.9838863918906,0,0,0.0140666757001303
"74","34","U","D4","0","3rd_instar",2,1.05124835742444,40,0.00209630680066589,0,0.997903693199334,0,0,0.483592632325849
"75","35","U","D4","0","5th_instar",3,1.36869340232859,46,0.0550219252453539,0.0879097932762581,0.857068281478388,0,0,0.140760621211439
"76","37","U","D5","0","5th_instar",0,0,0,0,0,0,0,0,NA
"77","38","U","D5","0","3rd_instar",1,1,49,1,0,0,0,0,0.382719126964714
"78","40","U","C","0","5th_instar",0,0,0,0,0,0,0,0,NA
"79","42","U","D0","10","3rd_instar",5,2.21024126046283,67,0.0165182805135246,0.419623773867995,0.557318574926751,0.00455774320938725,0.00198162748234228,0.267536936014929
"80","43","U","D1","10","3rd_instar",5,2.02184087363495,72,0.00628099740865954,0.355408350637538,0.627241681110673,0.000875220950386985,0.0101937498927425,0
"81","44","U","D2","10","3rd_instar",3,1.88142371525695,97,0,0.351985805923297,0.647860652381602,0,0.000153541695100314,0
"82","47","U","D3","10","5th_instar",3,1.02431409997429,167,0.000773933906044424,0.00472099682687099,0.994505069267085,0,0,0.00390066771106872
"83","50","U","D5","10","3rd_instar",1,1,71,1,0,0,0,0,0.382719126964714
"84","152","W","D0","2","3rd_instar",2,1.1995240928019,142,0,0.085707653919805,0.914292346080195,0,0,0.0917830562631086
"85","153","W","D1","2","5th_instar",0,0,0,0,0,0,0,0,NA
"86","154","W","D2","2","3rd_instar",2,1.06771879483501,61,0,0.968282828282828,0.0317171717171717,0,0,0.61333367166985
"87","155","W","D3","2","3rd_instar",0,0,0,0,0,0,0,0,NA
"88","157","W","D5","2","5th_instar",1,1,102,0,1,0,0,0,0.835374374960898
"89","158","W","C","2","5th_instar",1,1,64,0,0,1,0,0,0
"90","162","W","D3","1","5th_instar",1,1,37,0,0,1,0,0,0.00285840466911693
"91","164","W","D5","1","3rd_instar",0,0,0,0,0,0,0,0,NA
"92","165","W","C","1","3rd_instar",0,0,0,0,0,0,0,0,NA
